01/09/2016 09:18 - FRANCISCO | CI = 17262 | NOME_FISICO = 1472732310-16275100.pdf | NOME_ORIGINAL = CUPOM-AIRT.30-08.pdf | TAMANHO = 442 | DESCRICAO = CUPOM-AIRT.30-08.pdf
28/09/2016 14:59 - CRISTIANOALVES | CI = 17630 | NOME_FISICO = 1475085529-24712600.pdf | NOME_ORIGINAL = 1122.pdf | TAMANHO = 34 | DESCRICAO = Despesa com refeição
28/09/2016 15:14 - RODRIGO_POIT | CI = 17631 | NOME_FISICO = 1475086479-60650100.msg | NOME_ORIGINAL = RT1068916 - Rogerio Alves Pedrozo.msg | TAMANHO = 106 | DESCRICAO = RT1068916 - Rogerio Alves Pedrozo.msg
28/09/2016 16:43 - CRISTIANOALVES | CI = 17632 | NOME_FISICO = 1475091831-55962600.pdf | NOME_ORIGINAL = 1122.pdf | TAMANHO = 34 | DESCRICAO = Despesa com refeição
29/09/2016 08:08 - ELTON | CI = 17633 | NOME_FISICO = 1475147268-95025100.pdf | NOME_ORIGINAL = Comprovante de Pagamento - Benedito Gallo.pdf | TAMANHO = 189 | DESCRICAO = Comprovante de Pagamento - Benedito Gallo.pdf
29/09/2016 08:29 - MATHEUSUZELOTTO | CI = 17634 | NOME_FISICO = 1475148583-34087600.pdf | NOME_ORIGINAL = goania.pdf | TAMANHO = 341 | DESCRICAO = goania.pdf
29/09/2016 08:32 - MATHEUSUZELOTTO | CI = 17635 | NOME_FISICO = 1475148699-73150200.pdf | NOME_ORIGINAL = ideia1.pdf | TAMANHO = 266 | DESCRICAO = ideia1.pdf
29/09/2016 08:32 - MATHEUSUZELOTTO | CI = 17635 | NOME_FISICO = 1475148699-74789700.pdf | NOME_ORIGINAL = idea2.pdf | TAMANHO = 241 | DESCRICAO = idea2.pdf
29/09/2016 11:25 - KLEBER | CI = 17638 | NOME_FISICO = 1475159113-05962600.pdf | NOME_ORIGINAL = Boleto 05-10-2016.pdf | TAMANHO = 97 | DESCRICAO = Boleto 05-10-2016.pdf
29/09/2016 13:38 - RODRIGO_POIT | CI = 17640 | NOME_FISICO = 1475167103-76275100.msg | NOME_ORIGINAL = Carlos Jose de Souza Brito - Proc. 10543-21.2016  - Ata.msg | TAMANHO = 78 | DESCRICAO = Carlos Jose de Souza Brito - Proc. 10543-21.2016  - Ata.msg
29/09/2016 13:38 - RODRIGO_POIT | CI = 17640 | NOME_FISICO = 1475167103-78426800.pdf | NOME_ORIGINAL = Petição Inicial.pdf | TAMANHO = 390 | DESCRICAO = Petição Inicial.pdf
29/09/2016 14:05 - KLEBER | CI = 17642 | NOME_FISICO = 1475168708-59087600.pdf | NOME_ORIGINAL = Conta de Agua.pdf | TAMANHO = 591 | DESCRICAO = Conta de Agua.pdf
30/09/2016 07:17 - SANTANA | CI = 17643 | NOME_FISICO = 1475230650-07525200.pdf | NOME_ORIGINAL = Recibo Cartório - Matricula Atualizada Nº 55718.pdf | TAMANHO = 318 | DESCRICAO = Recibo Cartório - Matricula Atualizada Nº 55718.pdf
30/09/2016 09:05 - ROBERTA | CI = 17651 | NOME_FISICO = 1475236482-34185200.pdf | NOME_ORIGINAL = cupom.pdf | TAMANHO = 353 | DESCRICAO = cupom.pdf
30/09/2016 10:48 - SANTANA | CI = 17655 | NOME_FISICO = 1475243264-95122800.pdf | NOME_ORIGINAL = NFSS-615.pdf | TAMANHO = 235 | DESCRICAO = NFSS-615.pdf
