01/08/2016 08:32 - FRANCISCO | CI = 16878 | NOME_FISICO = 1470051145-34367300.pdf | NOME_ORIGINAL = TAXA DER-F-1530.pdf | TAMANHO = 308 | DESCRICAO = TAXA DER-F-1530.pdf
30/08/2016 16:45 - MARCOS | CI = 17245 | NOME_FISICO = 1472586107-17573500.pdf | NOME_ORIGINAL = Pagamento ref a 03-2015.pdf | TAMANHO = 1192 | DESCRICAO = Pagamento ref a 03-2015.pdf
30/08/2016 16:45 - MARCOS | CI = 17245 | NOME_FISICO = 1472586117-00386000.pdf | NOME_ORIGINAL = Pagamento ref a 07-2014.pdf | TAMANHO = 4435 | DESCRICAO = Pagamento ref a 07-2014.pdf
30/08/2016 16:45 - MARCOS | CI = 17245 | NOME_FISICO = 1472586132-06636000.pdf | NOME_ORIGINAL = Pagamento Ref a 08- 2014.pdf | TAMANHO = 2587 | DESCRICAO = Pagamento Ref a 08- 2014.pdf
30/08/2016 16:45 - MARCOS | CI = 17245 | NOME_FISICO = 1472586164-70698500.pdf | NOME_ORIGINAL = Pagamento ref a 08-2011.pdf | TAMANHO = 736 | DESCRICAO = Pagamento ref a 08-2011.pdf
30/08/2016 16:45 - MARCOS | CI = 17245 | NOME_FISICO = 1472586174-83198500.pdf | NOME_ORIGINAL = Pagamento ref a 09-2014.pdf | TAMANHO = 719 | DESCRICAO = Pagamento ref a 09-2014.pdf
30/08/2016 16:45 - MARCOS | CI = 17245 | NOME_FISICO = 1472586191-09761000.pdf | NOME_ORIGINAL = Pagamento ref a 10-2014.pdf | TAMANHO = 723 | DESCRICAO = Pagamento ref a 10-2014.pdf
30/08/2016 16:45 - MARCOS | CI = 17245 | NOME_FISICO = 1472586206-34760900.pdf | NOME_ORIGINAL = Pagamento ref a 12- 2012.pdf | TAMANHO = 1201 | DESCRICAO = Pagamento ref a 12- 2012.pdf
30/08/2016 16:45 - MARCOS | CI = 17245 | NOME_FISICO = 1472586217-78510900.pdf | NOME_ORIGINAL = Pagamnto ref a 01-2013 2013.pdf | TAMANHO = 1658 | DESCRICAO = Pagamnto ref a 01-2013 2013.pdf
30/08/2016 16:45 - MARCOS | CI = 17245 | NOME_FISICO = 1472586239-39448400.pdf | NOME_ORIGINAL = Relatorio de ICMS - Venda Sucata PF.pdf | TAMANHO = 857 | DESCRICAO = Relatorio de ICMS - Venda Sucata PF.pdf
30/08/2016 16:45 - MARCOS | CI = 17245 | NOME_FISICO = 1472586257-66011000.pdf | NOME_ORIGINAL = Tabela de Juros ICMS.pdf | TAMANHO = 3022 | DESCRICAO = Tabela de Juros ICMS.pdf
30/08/2016 16:53 - ALEXANDRE | CI = 17246 | NOME_FISICO = 1472585291-53510900.msg | NOME_ORIGINAL = Pagamento parcela 3 últimos carretas.msg | TAMANHO = 98 | DESCRICAO = Pagamento parcela 3 últimos carretas.msg
31/08/2016 09:45 - MATHEUSRODRIGUES | CI = 17252 | NOME_FISICO = 1472647517-80337600.pdf | NOME_ORIGINAL = Nota_refeição_29e30.pdf | TAMANHO = 324 | DESCRICAO = Nota Restaurante Monte Sul
31/08/2016 12:00 - MARCOS | CI = 17253 | NOME_FISICO = 1472655598-02212500.pdf | NOME_ORIGINAL = Guia de Recolhimento.pdf | TAMANHO = 423 | DESCRICAO = Guia de Recolhimento.pdf
31/08/2016 12:19 - MATHEUSUZELOTTO | CI = 17254 | NOME_FISICO = 1472656292-02212600.pdf | NOME_ORIGINAL = IAC1.pdf | TAMANHO = 435 | DESCRICAO = IAC1.pdf
31/08/2016 12:19 - MATHEUSUZELOTTO | CI = 17254 | NOME_FISICO = 1472656750-49087600.pdf | NOME_ORIGINAL = IAC-ALMOÇO.pdf | TAMANHO = 274 | DESCRICAO = IAC-ALMOÇO.pdf
31/08/2016 12:19 - MATHEUSUZELOTTO | CI = 17254 | NOME_FISICO = 1472656750-49993500.pdf | NOME_ORIGINAL = IAC-COMBUSTIVEL.pdf | TAMANHO = 228 | DESCRICAO = IAC-COMBUSTIVEL.pdf
