01/07/2016 08:27 - GRAZIELA | CI = 16479 | NOME_FISICO = 1467372363-28095300.pdf | NOME_ORIGINAL = IGC.pdf | TAMANHO = 199 | DESCRICAO = COMPROVANTE
27/07/2016 09:19 - RODRIGO_POIT | CI = 16839 | NOME_FISICO = 1469621938-04941100.pdf | NOME_ORIGINAL = cálculo reclamante.pdf | TAMANHO = 1217 | DESCRICAO = cálculo reclamante.pdf
27/07/2016 10:08 - FERNANDOPIRES | CI = 16840 | NOME_FISICO = 1469624926-79679700.pdf | NOME_ORIGINAL = Boleto FMU - 05-08-16.pdf | TAMANHO = 16 | DESCRICAO = Boleto FMU - 05-08-16.pdf
27/07/2016 13:57 - RODRIGO_POIT | CI = 16844 | NOME_FISICO = 1469638572-46867200.msg | NOME_ORIGINAL = TERMO DE AUDIÊNCIA PROC. 1104715 - JESUS DOS SANTOS.msg | TAMANHO = 78 | DESCRICAO = TERMO DE AUDIÊNCIA PROC. 1104715 - JESUS DOS SANTOS.msg
27/07/2016 13:57 - RODRIGO_POIT | CI = 16844 | NOME_FISICO = 1469638572-49245900.pdf | NOME_ORIGINAL = cálculo usina.pdf | TAMANHO = 351 | DESCRICAO = cálculo usina.pdf
27/07/2016 13:57 - RODRIGO_POIT | CI = 16844 | NOME_FISICO = 1469638572-53225800.pdf | NOME_ORIGINAL = cálculo reclamante.pdf | TAMANHO = 485 | DESCRICAO = cálculo reclamante.pdf
27/07/2016 14:09 - FRANCISCO | CI = 16845 | NOME_FISICO = 1469639364-95304700.pdf | NOME_ORIGINAL = CUPOM -RON.27-07.pdf | TAMANHO = 208 | DESCRICAO = CUPOM -RON.27-07.pdf
27/07/2016 14:13 - FRANCISCO | CI = 16846 | NOME_FISICO = 1469639591-64054700.pdf | NOME_ORIGINAL = CUPOM-AIRTON - 26-07.pdf | TAMANHO = 239 | DESCRICAO = CUPOM-AIRTON - 26-07.pdf
27/07/2016 14:35 - FRANCISCO | CI = 16848 | NOME_FISICO = 1469640930-04679700.pdf | NOME_ORIGINAL = AUTO INF.-660056-4.pdf | TAMANHO = 602 | DESCRICAO = AUTO INF.-660056-4.pdf
27/07/2016 14:52 - FRANCISCO | CI = 16849 | NOME_FISICO = 1469641887-93742200.pdf | NOME_ORIGINAL = CUPOM-RON.25-26-07.pdf | TAMANHO = 439 | DESCRICAO = CUPOM-RON.25-26-07.pdf
28/07/2016 08:12 - LUISMORETTI | CI = 16852 | NOME_FISICO = 1469704341-23429800.pdf | NOME_ORIGINAL = doc07883420160728104604.pdf | TAMANHO = 334 | DESCRICAO = doc07883420160728104604.pdf
28/07/2016 08:26 - LUISMORETTI | CI = 16853 | NOME_FISICO = 1469705143-67179700.pdf | NOME_ORIGINAL = SJC.pdf | TAMANHO = 602 | DESCRICAO = SJC.pdf
28/07/2016 09:34 - RODRIGO_POIT | CI = 16855 | NOME_FISICO = 1469709263-64054700.msg | NOME_ORIGINAL = RES PROCESSO 101182016 ISMAEL OLIVEIRA DOS SANTOS.msg | TAMANHO = 62 | DESCRICAO = RES PROCESSO 101182016 ISMAEL OLIVEIRA DOS SANTOS.msg
28/07/2016 13:58 - MARTA | CI = 16860 | NOME_FISICO = 1469725068-54679700.pdf | NOME_ORIGINAL = Despesa 20072016.pdf | TAMANHO = 49 | DESCRICAO = Despesa de refeição
28/07/2016 14:05 - FRANCISCO | CI = 16861 | NOME_FISICO = 1469725309-71867200.xlsx | NOME_ORIGINAL = LIC. REBOQUES - 2016-FINAL-05 - 06.xlsx | TAMANHO = 13 | DESCRICAO = LIC. REBOQUES - 2016-FINAL-05 - 06.xlsx
28/07/2016 16:31 - FRANCISCO | CI = 16863 | NOME_FISICO = 1469734267-29679700.pdf | NOME_ORIGINAL = DETRAN - TAXAS DE SERV .2016.pdf | TAMANHO = 316 | DESCRICAO = DETRAN - TAXAS DE SERV .2016.pdf
29/07/2016 08:44 - KLEBER | CI = 16865 | NOME_FISICO = 1469792668-32804800.pdf | NOME_ORIGINAL = Boleto 05-08-2016.pdf | TAMANHO = 97 | DESCRICAO = Boleto 05-08-2016.pdf
29/07/2016 13:36 - FRANCISCO | CI = 16868 | NOME_FISICO = 1469810168-49992200.pdf | NOME_ORIGINAL = CUPOM -SAND.29-07.pdf | TAMANHO = 208 | DESCRICAO = CUPOM -SAND.29-07.pdf
29/07/2016 14:46 - MARCOS | CI = 16870 | NOME_FISICO = 1469814361-42179800.pdf | NOME_ORIGINAL = CND MINICIPAL.pdf | TAMANHO = 289 | DESCRICAO = CND MINICIPAL.pdf
29/07/2016 14:46 - MARCOS | CI = 16870 | NOME_FISICO = 1469814367-60929800.pdf | NOME_ORIGINAL = Comprovante de Pagamento.pdf | TAMANHO = 194 | DESCRICAO = Comprovante de Pagamento.pdf
29/07/2016 14:46 - MARCOS | CI = 16870 | NOME_FISICO = 1469814373-99992200.pdf | NOME_ORIGINAL = Guia de recolhimento.pdf | TAMANHO = 395 | DESCRICAO = Guia de recolhimento.pdf
29/07/2016 15:46 - FRANCISCO | CI = 16872 | NOME_FISICO = 1469817924-01554800.pdf | NOME_ORIGINAL = AUTOS INF.253560-2 - 253559-2 - 315179-2.pdf | TAMANHO = 1628 | DESCRICAO = AUTOS INF.253560-2 - 253559-2 - 315179-2.pdf
