01/12/2016 08:09 - MARCELOGODOI | CI = 18416 | NOME_FISICO = 1480586957-13950100.pdf | NOME_ORIGINAL = DARE.pdf | TAMANHO = 70 | DESCRICAO = DARE.pdf
22/12/2016 13:13 - MARVYNALVES | CI = 18750 | NOME_FISICO = 1482418901-47810200.pdf | NOME_ORIGINAL = RELATORIO 9.05.429.pdf | TAMANHO = 20 | DESCRICAO = RELATORIO PROJ. 9.05.429
22/12/2016 13:23 - MARVYNALVES | CI = 18752 | NOME_FISICO = 1482420135-10310200.pdf | NOME_ORIGINAL = RELATORIO PROJETO 9.05.442.pdf | TAMANHO = 18 | DESCRICAO = RELATORIO
22/12/2016 14:03 - RODRIGO_POIT | CI = 18753 | NOME_FISICO = 1482422436-22810300.pdf | NOME_ORIGINAL = despesas marcelo.pdf | TAMANHO = 1066 | DESCRICAO = despesas marcelo.pdf
22/12/2016 18:47 - TOM | CI = 18757 | NOME_FISICO = 1482439515-97810200.pdf | NOME_ORIGINAL = DARF JRHM Bradesco_22122016_174429.pdf | TAMANHO = 9.53 | DESCRICAO = DARF JRHM Bradesco_22122016_174429.pdf
22/12/2016 18:47 - TOM | CI = 18757 | NOME_FISICO = 1482439525-22810200.pdf | NOME_ORIGINAL = DARF HLTM Bradesco_22122016_174218.pdf | TAMANHO = 9.52 | DESCRICAO = DARF HLTM Bradesco_22122016_174218.pdf
22/12/2016 18:47 - TOM | CI = 18757 | NOME_FISICO = 1482439537-24372700.pdf | NOME_ORIGINAL = DARE JRHM Bradesco_22122016_173704.pdf | TAMANHO = 8.21 | DESCRICAO = DARE JRHM Bradesco_22122016_173704.pdf
22/12/2016 18:47 - TOM | CI = 18757 | NOME_FISICO = 1482439555-22810200.pdf | NOME_ORIGINAL = DARE HLTM Bradesco_22122016_173209.pdf | TAMANHO = 8.22 | DESCRICAO = DARE HLTM Bradesco_22122016_173209.pdf
23/12/2016 08:06 - MARVYNALVES | CI = 18758 | NOME_FISICO = 1482487354-79060200.pdf | NOME_ORIGINAL = STATUS PROJ. 9.05.435.pdf | TAMANHO = 17 | DESCRICAO = Relatorio  9.05.435
23/12/2016 08:06 - MARVYNALVES | CI = 18758 | NOME_FISICO = 1482487370-93122700.pdf | NOME_ORIGINAL = STATUS PROJ. 9.05.429.pdf | TAMANHO = 20 | DESCRICAO = Relatorio  9.05.429
23/12/2016 08:06 - MARVYNALVES | CI = 18758 | NOME_FISICO = 1482487404-68122800.pdf | NOME_ORIGINAL = JUSTIFICATIVA -COMPRAS.pdf | TAMANHO = 42 | DESCRICAO = Justificativa - Compras
23/12/2016 08:26 - LUISMOREIRA | CI = 18759 | NOME_FISICO = 1482488724-61872800.pdf | NOME_ORIGINAL = Água.pdf | TAMANHO = 508 | DESCRICAO = Água.pdf
23/12/2016 09:10 - FRANCISCO | CI = 18761 | NOME_FISICO = 1482491355-03537600.pdf | NOME_ORIGINAL = CUPOM-RON. 20-12.pdf | TAMANHO = 500 | DESCRICAO = CUPOM-RON. 20-12.pdf
23/12/2016 09:10 - FRANCISCO | CI = 18761 | NOME_FISICO = 1482491385-75860800.pdf | NOME_ORIGINAL = CUPOM-RON.-19-21-12.pdf | TAMANHO = 423 | DESCRICAO = CUPOM-RON.-19-21-12.pdf
23/12/2016 10:25 - FRANCISCO | CI = 18762 | NOME_FISICO = 1482495882-09787600.pdf | NOME_ORIGINAL = CUPOM-RON-22-12.pdf | TAMANHO = 361 | DESCRICAO = CUPOM-RON-22-12.pdf
23/12/2016 10:37 - FRANCISCO | CI = 18763 | NOME_FISICO = 1482496602-94162600.pdf | NOME_ORIGINAL = CUPOM-RON-PEDAG..pdf | TAMANHO = 346 | DESCRICAO = CUPOM-RON-PEDAG..pdf
23/12/2016 10:37 - FRANCISCO | CI = 18763 | NOME_FISICO = 1482496625-46171500.pdf | NOME_ORIGINAL = CUPOM-RON.-PEDAG-01.pdf | TAMANHO = 337 | DESCRICAO = CUPOM-RON.-PEDAG-01.pdf
23/12/2016 12:10 - FRANCISCO | CI = 18764 | NOME_FISICO = 1482502212-17600100.pdf | NOME_ORIGINAL = CUPOM-AIRT. - 21-12.pdf | TAMANHO = 337 | DESCRICAO = CUPOM-AIRT. - 21-12.pdf
26/12/2016 08:37 - KLEBER | CI = 18769 | NOME_FISICO = 1482748668-33225100.jpg | NOME_ORIGINAL = 20161226_083427.jpg | TAMANHO = 2201 | DESCRICAO = 20161226_083427.jpg
26/12/2016 08:41 - FRANCISCO | CI = 18770 | NOME_FISICO = 1482748871-23850200.pdf | NOME_ORIGINAL = CUPOM-RON. 24-12.pdf | TAMANHO = 390 | DESCRICAO = CUPOM-RON. 24-12.pdf
26/12/2016 08:51 - FRANCISCO | CI = 18771 | NOME_FISICO = 1482749457-53537700.pdf | NOME_ORIGINAL = CUPOM-AIRT. 23-12.pdf | TAMANHO = 350 | DESCRICAO = CUPOM-AIRT. 23-12.pdf
26/12/2016 09:42 - LUISMOREIRA | CI = 18774 | NOME_FISICO = 1482752546-48850100.pdf | NOME_ORIGINAL = Estela mares 26-12.pdf | TAMANHO = 546 | DESCRICAO = Estela mares 26-12.pdf
26/12/2016 09:45 - LUISMOREIRA | CI = 18775 | NOME_FISICO = 1482752747-67600200.pdf | NOME_ORIGINAL = Condominio 26-12.pdf | TAMANHO = 608 | DESCRICAO = Condominio 26-12.pdf
26/12/2016 09:49 - LUISMOREIRA | CI = 18776 | NOME_FISICO = 1482752983-01975200.pdf | NOME_ORIGINAL = CI Água - 26-12.pdf | TAMANHO = 520 | DESCRICAO = CI Água - 26-12.pdf
27/12/2016 10:31 - FRANCISCO | CI = 18781 | NOME_FISICO = 1482841782-11525200.pdf | NOME_ORIGINAL = CUPOM-26-12-CONT..pdf | TAMANHO = 251 | DESCRICAO = CUPOM-26-12-CONT..pdf
27/12/2016 11:20 - RBARBOSA | CI = 18782 | NOME_FISICO = 1482844634-16212700.pdf | NOME_ORIGINAL = Contrato de prestação de serviços 1585-2016 - R0.pdf | TAMANHO = 45 | DESCRICAO = Contrato de prestação de serviços 1585-2016 - R0.pdf
27/12/2016 11:23 - RBARBOSA | CI = 18783 | NOME_FISICO = 1482845015-45900200.pdf | NOME_ORIGINAL = Contrato de prestação de serviços 1585-2016 - R0.pdf | TAMANHO = 45 | DESCRICAO = Contrato de prestação de serviços 1585-2016 - R0.pdf
27/12/2016 11:24 - FRANCISCO | CI = 18784 | NOME_FISICO = 1482845019-36525200.pdf | NOME_ORIGINAL = CUPOM-22-12 - CONT..pdf | TAMANHO = 197 | DESCRICAO = CUPOM-22-12 - CONT..pdf
27/12/2016 11:45 - FRANCISCO | CI = 18785 | NOME_FISICO = 1482846251-30275100.pdf | NOME_ORIGINAL = CUPOM-RON.-26-12-DH.pdf | TAMANHO = 353 | DESCRICAO = CUPOM-RON.-26-12-DH.pdf
27/12/2016 11:45 - FRANCISCO | CI = 18785 | NOME_FISICO = 1482846321-26077500.pdf | NOME_ORIGINAL = CUPOM-RON.-26-12-DH-01.pdf | TAMANHO = 240 | DESCRICAO = CUPOM-RON.-26-12-DH-01.pdf
27/12/2016 12:03 - FRANCISCO | CI = 18786 | NOME_FISICO = 1482847349-42775100.pdf | NOME_ORIGINAL = CUPOM-RON.-26-12-02.pdf | TAMANHO = 468 | DESCRICAO = CUPOM-RON.-26-12-02.pdf
28/12/2016 10:13 - FRANCISCO | CI = 18789 | NOME_FISICO = 1482927217-81837600.pdf | NOME_ORIGINAL = IPVA-FIAT-STRADA.pdf | TAMANHO = 1259 | DESCRICAO = IPVA-FIAT-STRADA.pdf
28/12/2016 10:42 - LUISMOREIRA | CI = 18790 | NOME_FISICO = 1482928910-77150200.pdf | NOME_ORIGINAL = Conta de luz.pdf | TAMANHO = 670 | DESCRICAO = Conta de luz.pdf
